"","NumberOfSamples","Cohen'sD","SignificanceLevel","Power","nTrees","nYears","Stressor","Type","firstYear"
"1",830.683690718147,0.137547258530754,0.05,0.8,98,4.23818209550075,"SWP","Cohen's D",2026.2381820955
"2",654.21680811736,0.137547258530754,0.1,0.8,98,3.33784085774163,"SWP","Cohen's D",2025.33784085774
"3",550.439092241091,0.137547258530754,0.15,0.8,98,2.80836271551577,"SWP","Cohen's D",2024.80836271552
"4",476.415846653163,0.137547258530754,0.2,0.8,98,2.4306930951692,"SWP","Cohen's D",2024.43069309517
"5",418.521849137877,0.137547258530754,0.25,0.8,98,2.1353155568259,"SWP","Cohen's D",2024.13531555683
"6",370.558598226312,0.137547258530754,0.3,0.8,98,1.89060509299139,"SWP","Cohen's D",2023.89060509299
"7",1828.54076347118,0.0926787391064335,0.05,0.8,98,9.32928960954686,"CV","Cohen's D",2031.32928960955
"8",1440.1892291971,0.0926787391064335,0.1,0.8,98,7.34790423059742,"CV","Cohen's D",2029.3479042306
"9",1211.79469928354,0.0926787391064335,0.15,0.8,98,6.18262601675273,"CV","Cohen's D",2028.18262601675
"10",1048.87746903357,0.0926787391064335,0.2,0.8,98,5.35141565833453,"CV","Cohen's D",2027.35141565833
"11",921.453838376243,0.0926787391064335,0.25,0.8,98,4.70129509375634,"CV","Cohen's D",2026.70129509376
"12",815.883032534814,0.0926787391064335,0.3,0.8,98,4.16266853334089,"CV","Cohen's D",2026.16266853334
"13",NA,NA,0.05,NA,NA,NA,"CV","Correlation",2034
"14",NA,NA,0.05,NA,NA,NA,"SWP","Correlation",2023
"15",NA,NA,0.1,NA,NA,NA,"CV","Correlation",2032
"16",NA,NA,0.1,NA,NA,NA,"SWP","Correlation",2023
"17",NA,NA,0.15,NA,NA,NA,"CV","Correlation",2030
"18",NA,NA,0.15,NA,NA,NA,"SWP","Correlation",2023
"19",NA,NA,0.2,NA,NA,NA,"CV","Correlation",2029
"20",NA,NA,0.2,NA,NA,NA,"SWP","Correlation",2023
"21",NA,NA,0.25,NA,NA,NA,"CV","Correlation",2028
"22",NA,NA,0.25,NA,NA,NA,"SWP","Correlation",2023
"23",NA,NA,0.3,NA,NA,NA,"CV","Correlation",2027
"24",NA,NA,0.3,NA,NA,NA,"SWP","Correlation",2023
